通	10
额	1
扣	2
阍	1
怒	4
猰	1
貐	1
竞	5
肉	3
驺	2
虞	2
茎	2
智	2
卷	22
豪	13
世	36
轻	18
毛	12
弄	22
剧	7
孟	4
亚	3
咍	1
劳	5
午	1
钟	10
引	8
衔	12
窅	2
非	29
染	5
蒿	3
食	12
闷	2
鬼	4
鼙	3
殊	12
未	59
俱	7
匈	2
奴	4
戮	1
耕	6
作	55
田	15
烽	4
火	14
燃	1
战	13
乌	7
鸢	2
啄	4
枯	11
枝	20
凶	2
器	3
用	13
猩	4
啼	14
游	59
说	4
鞭	11
跨	5
涉	5
辈	3
面	11
易	13
各	13
纠	1
结	21
飘	26
扬	30
巢	8
双	33
翡	3
宿	16
北	36
念	10
良	14
箭	4
蜘	1
蛛	1
网	3
埃	4
忍	12
焚	10
灰	11
拦	1
街	1
唱	3
铜	2
鞮	1
借	13
问	19
翁	9
似	17
泥	8
垒	4
麹	1
便	7
筑	2
糟	3
骏	5
雕	6
鞍	7
梅	4
罍	2
朗	6
买	9
推	8
舒	6
州	14
杓	1
力	6
铛	1
袖	7
年	33
内	4
酣	8
畅	2
学	17
哥	1
带	11
屠	1
堡	1
袍	5
掉	3
射	5
骅	1
骝	2
拳	4
跼	1
蹇	4
驴	1
志	7
肯	6
和	3
由	11
贱	5
奇	10
璞	1
谈	13
蝇	5
贝	4
谤	2
论	8
握	1
荣	19
辱	2
亦	36
傲	3
谐	3
恩	21
疏	10
媒	2
乖	2
达	11
穷	30
李	17
英	28
弥	1
鼎	6
惨	4
啸	10
凭	5
吼	1
尧	6
舜	3
禅	3
禹	2
或	9
囚	2
帝	26
泣	9
泪	30
灭	20
切	3
珠	23
宝	16
愤	3
函	4
谷	10
军	11
临	16
洮	1
拜	4
曹	3
许	7
最	4
璧	8
累	6
淮	4
桂	10
洛	8
迢	8
络	3
守	5
餐	9
楼	39
嘈	5
宛	3
覆	11
眠	5
股	1
分	18
严	6
勇	2
貔	1
尹	1
并	7
遏	3
戎	7
虏	11
凉	8
岁	18
义	5
祠	2
携	15
妓	3
恣	4
杨	13
娥	5
婵	3
娟	4
初	11
辉	12
舞	29
罗	20
再	13
遇	11
因	19
献	10
赋	9
渭	6
桥	12
酂	1
群	24
极	12
咳	1
唾	1
收	6
根	7
碎	4
绮	15
翼	11
阿	1
娇	10
正	12
妒	3
赠	20
吟	26
辞	23
条	7
犹	20
他	12
负	9
阔	4
始	6
洪	7
旧	15
摇	16
扇	7
盐	3
夷	6
散	23
池	23
馀	17
汴	1
博	6
驰	6
应	23
哉	9
置	2
斛	1
任	2
笔	8
岳	8
诗	17
洲	17
卿	6
琴	16
沉	13
令	17
惭	11
漂	5
母	11
悬	9
独	34
箫	4
管	7
四	39
筵	9
申	6
句	4
骑	14
款	1
段	4
诸	4
解	15
暖	5
陀	1
僧	3
槌	2
鹦	2
鹉	2
舍	5
策	11
运	12
歇	17
鲁	13
德	10
驻	4
景	22
戈	5
囊	3
括	2
块	3
溟	10
涬	1
科	2
锋	2
兔	6
词	6
停	5
数	12
字	10
怳	2
惊	18
郡	2
凡	2
障	1
题	6
遍	3
逸	11
伯	9
必	11
要	2
孙	4
娘	1
浑	2
脱	7
方	31
渐	2
奈	5
洞	7
庭	20
潇	3
渺	4
绵	5
泽	6
洄	2
沿	4
峰	20
泉	23
蹙	4
潺	5
湲	5
昧	4
昼	9
隐	14
蝉	2
昌	4
赵	13
妙	7
粉	4
图	7
珍	10
真	10
全	4
堕	4
种	4
禽	7
姊	2
肩	3
次	2
第	6
肝	1
忧	8
煎	4
逢	19
武	14
乎	11
虽	20
久	13
凰	3
斯	6
追	2
悔	2
拨	2
外	9
姓	1
惠	7
卜	3
式	1
·	2
7	2
掬	3
浦	9
堪	7
薄	3
渌	6
敢	6
衰	9
牵	3
烂	3
黑	1
貂	2
裘	9
岭	10
楠	1
贞	3
逻	1
祖	10
耐	3
船	15
净	4
鹭	5
赧	1
郎	9
缘	5
个	2
妻	4
鹇	2
罝	1
映	5
削	1
炅	2
目	14
瞳	1
轮	4
铸	2
冶	4
濛	3
颓	17
叱	3
咤	4
涛	7
簸	3
蹋	1
犬	10
乡	9
淋	1
漓	1
沓	3
进	2
退	4
寿	2
戾	1
鲈	1
鲙	1
翻	14
鹜	1
旗	3
猎	6
寻	17
蟠	1
踞	1
巡	4
柏	3
丹	26
固	5
画	8
按	5
陪	3
都	10
势	9
蛟	3
宠	5
试	2
琼	12
鹂	2
.	1
澄	4
练	2
晖	11
揄	1
谑	1
墀	4
琐	2
朔	8
谪	4
蛾	7
眉	19
箕	2
颠	1
掩	10
口	8
盗	4
弯	3
弓	4
弦	13
惮	1
坚	1
穿	1
枪	2
突	2
妍	4
剿	1
先	13
计	1
危	3
惜	25
付	1
市	3
威	5
冰	4
壶	14
含	8
萝	13
禄	1
忝	4
阻	6
芳	25
泰	2
才	17
迍	1
邅	1
翩	7
椎	2
圯	2
钦	1
徐	2
泗	2
庚	1
臆	3
尾	3
星	16
渴	5
汗	1
沟	3
奔	15
恻	4
伏	5
枥	2
冤	2
赎	1
穆	3
夹	7
虹	6
遗	18
帙	1
探	7
本	14
屡	4
贻	2
褊	1
促	1
诮	1
栏	1
饶	4
减	4
夸	11
苑	2
峨	8
迹	17
辇	2
添	2
乾	1
坤	1
众	13
萋	5
斐	2
粲	4
涓	1
交	20
乱	13
播	7
埏	1
拾	1
掇	6
